model_name,threshold_probability,net_benefit,treat_all_net_benefit,treat_none_net_benefit
ColposcopyOnly_ViT,0.125,0.05467279162587544,0.09451012877475715,0.0
ColposcopyOnly_ViT,0.15000000000000002,0.039195013798877465,0.06787807373872054,0.0
ColposcopyOnly_ViT,0.175,0.023370233702337012,0.039631954761106036,0.0
ColposcopyOnly_ViT,0.2,0.009620453347390617,0.009620453347390617,0.0
ColposcopyOnly_ViT,0.22500000000000003,-0.006478820548574182,-0.02232727396398393,0.0
ColposcopyOnly_ViT,0.25,-0.021788789316464607,-0.05640484976278334,0.0
ColposcopyOnly_ViT,0.275,-0.03660952865686294,-0.09283260320287937,0.0
ColposcopyOnly_ViT,0.3,-0.05444687099932226,-0.13186233903155362,0.0
ColposcopyOnly_ViT,0.325,-0.07311739784064507,-0.17378316640309258,0.0
ColposcopyOnly_ViT,0.35000000000000003,-0.09091277725964074,-0.21892867280321163,0.0
ColposcopyOnly_ViT,0.375,-0.10869794412229837,-0.26768581971534,0.0
ColposcopyOnly_ViT,0.4,-0.12985415568441402,-0.3205060622034793,0.0
ColposcopyOnly_ViT,0.425,-0.1496871490454035,-0.3779193692558045,0.0
ColposcopyOnly_ViT,0.45,-0.17697800354626922,-0.4405520678583409,0.0
ColposcopyOnly_ViT,0.47500000000000003,-0.2040816326530613,-0.509149785375405,0.0
ColposcopyOnly_ViT,0.5,-0.23194517659462308,-0.5846072746441751,0.0
ColposcopyOnly_ViT,0.525,-0.26387925533390677,-0.6680076575201843,0.0
ColposcopyOnly_ViT,0.55,-0.29057576290048626,-0.7606747496046392,0.0
ColposcopyOnly_ViT,0.5750000000000001,-0.3284442928462899,-0.8642438525225591,0.0
ColposcopyOnly_ViT,0.6000000000000001,-0.36926726410121263,-0.9807590933052193,0.0
ColposcopyOnly_ViT,0.6250000000000001,-0.40976981198383433,-1.1128096995255674,0.0
ColposcopyOnly_ViT,0.6500000000000001,-0.4531967768657281,-1.2637246780631082,0.0
ColposcopyOnly_ViT,0.675,-0.5127934795831477,-1.4378573456064236,0.0
ColposcopyOnly_ViT,0.7000000000000001,-0.5759971885433142,-1.6410121244069589,0.0
ColposcopyOnly_ViT,0.7250000000000001,-0.6424018785642405,-1.881104135716683,0.0
ColposcopyOnly_ViT,0.7500000000000001,-0.7364259356879288,-2.1692145492883514,0.0
ColposcopyOnly_ViT,0.7750000000000001,-0.8201253441105846,-2.52134949920928,0.0
ColposcopyOnly_ViT,0.8,-0.9435951502372169,-2.9615181866104385,0.0
HyDRA_CoE_Full,0.05,0.15337236079127708,0.1659961712399079,0.0
HyDRA_CoE_Full,0.07500000000000001,0.12913704426619554,0.14345552721936486,0.0
HyDRA_CoE_Full,0.1,0.10683535406782639,0.11966262519768055,0.0
HyDRA_CoE_Full,0.125,0.08953987499058665,0.09451012877475715,0.0
HyDRA_CoE_Full,0.15000000000000002,0.0735526682997922,0.06787807373872054,0.0
HyDRA_CoE_Full,0.175,0.05771473299148577,0.039631954761106036,0.0
HyDRA_CoE_Full,0.2,0.0433579335793358,0.009620453347390617,0.0
HyDRA_CoE_Full,0.22500000000000003,0.026850545003145848,-0.02232727396398393,0.0
HyDRA_CoE_Full,0.25,0.012827271129854156,-0.05640484976278334,0.0
HyDRA_CoE_Full,0.275,-0.0029084034682711757,-0.09283260320287937,0.0
