variant,model_name,center,n,auroc,auprc,brier,ece,accuracy,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,referral_rate,tp,fp,tn,fn
same_backbone_early_concat,ColposcopyOCT_EarlyConcat,武大人民医院,89,,,0.4130022187363617,0.4774899069736574,0.6179775280898876,0.6179775280898876,,1.0,0.0,0.7638888888888888,,0.6179775280898876,55,0,0,34
same_backbone_early_concat,ColposcopyOCT_EarlyConcat,荆州市第一人民医院,406,0.5133670255621475,0.09271889775692654,0.5706659577827249,0.5921796841724154,0.5812807881773399,0.3783783783783784,0.6016260162601627,0.08695652173913043,0.9061224489795918,0.1414141414141414,0.4900021973192705,0.39655172413793105,14,147,222,23
same_backbone_early_concat,ColposcopyOCT_EarlyConcat,襄阳市中心医院,500,0.5558508158508159,0.26636073013724015,0.40832045122753435,0.41191656914398433,0.612,0.42727272727272725,0.6641025641025641,0.2640449438202247,0.8043478260869565,0.3263888888888889,0.5456876456876456,0.356,47,131,259,63
same_backbone_hydra_full,HyDRA_CoE_Full,十堰市人民医院,496,0.682844932844933,0.20165314619641755,0.13598154453685526,0.18184191815131268,0.9395161290322581,0.10714285714285714,0.9893162393162394,0.375,0.9487704918032787,0.16666666666666666,0.5482295482295483,0.016129032258064516,3,5,463,25
same_backbone_hydra_full,HyDRA_CoE_Full,恩施州中心医院,406,0.7426978818283166,0.6182892612502847,0.21022562972370318,0.14824815654282236,0.7487684729064039,0.3,0.9601449275362319,0.78,0.7443820224719101,0.43333333333333335,0.630072463768116,0.12315270935960591,39,11,265,91
same_backbone_hydra_full,HyDRA_CoE_Full,武大人民医院,89,,,0.3591559615869271,0.48405609844211606,0.6179775280898876,0.6179775280898876,,1.0,0.0,0.7638888888888888,,0.6179775280898876,55,0,0,34
same_backbone_hydra_full,HyDRA_CoE_Full,荆州市第一人民医院,406,0.5847799018530726,0.1127094590441789,0.45611462235506606,0.5458799707522846,0.8226600985221675,0.16216216216216217,0.8888888888888888,0.1276595744680851,0.9136490250696379,0.14285714285714285,0.5255255255255256,0.11576354679802955,6,41,328,31
same_backbone_hydra_full,HyDRA_CoE_Full,襄阳市中心医院,500,0.5727738927738928,0.31415350470256587,0.342563923090167,0.34455810025819034,0.56,0.5181818181818182,0.5717948717948718,0.2544642857142857,0.8079710144927537,0.3413173652694611,0.544988344988345,0.448,57,167,223,53
same_backbone_late_score_fusion,ColposcopyOCT_LateFusion,十堰市人民医院,496,0.5751678876678876,0.1492681130534801,0.16306519266770553,0.26728175836503487,0.875,0.17857142857142858,0.9166666666666666,0.11363636363636363,0.9491150442477876,0.1388888888888889,0.5476190476190476,0.08870967741935484,5,39,429,23
same_backbone_late_score_fusion,ColposcopyOCT_LateFusion,恩施州中心医院,406,0.6702062430323299,0.5438842474022998,0.22167279602308268,0.15653314135327306,0.7093596059113301,0.36153846153846153,0.8731884057971014,0.573170731707317,0.7438271604938271,0.44339622641509435,0.6173634336677815,0.2019704433497537,47,35,241,83
same_backbone_late_score_fusion,ColposcopyOCT_LateFusion,武大人民医院,89,,,0.5368862375638849,0.6609437749789444,0.4157303370786517,0.4157303370786517,,1.0,0.0,0.5873015873015873,,0.4157303370786517,37,0,0,52
same_backbone_late_score_fusion,ColposcopyOCT_LateFusion,荆州市第一人民医院,406,0.47718450157474546,0.08364768904393671,0.4151329148025404,0.5048146133956773,0.6330049261083743,0.21621621621621623,0.6747967479674797,0.0625,0.89568345323741,0.09696969696969697,0.44550648209184796,0.31527093596059114,8,120,249,29
same_backbone_late_score_fusion,ColposcopyOCT_LateFusion,襄阳市中心医院,500,0.6094172494172495,0.3485772145916538,0.27400825392325234,0.2826268851040154,0.428,0.7909090909090909,0.32564102564102565,0.24857142857142858,0.8466666666666667,0.3782608695652174,0.5582750582750583,0.7,87,263,127,23
same_backbone_oct_only,OCTOnly_ViT,十堰市人民医院,496,0.5769230769230769,0.18039262211446475,0.10260318265917857,0.13050471416179965,0.7883064516129032,0.21428571428571427,0.8226495726495726,0.06741573033707865,0.9459459459459459,0.10256410256410256,0.5184676434676434,0.17943548387096775,6,83,385,22
same_backbone_oct_only,OCTOnly_ViT,恩施州中心医院,406,0.6444258639910814,0.5374922281485075,0.33374071736934485,0.3063306067946643,0.5024630541871922,0.7769230769230769,0.37318840579710144,0.3686131386861314,0.7803030303030303,0.5,0.5750557413600892,0.6748768472906403,101,173,103,29
same_backbone_oct_only,OCTOnly_ViT,武大人民医院,89,,,0.5946485482189898,0.6635866387975277,0.4606741573033708,0.4606741573033708,,1.0,0.0,0.6307692307692307,,0.4606741573033708,41,0,0,48
same_backbone_oct_only,OCTOnly_ViT,荆州市第一人民医院,406,0.5968651578407677,0.1818200929311618,0.6814368527406819,0.7142380917096699,0.3448275862068966,0.7567567567567568,0.3035230352303523,0.09824561403508772,0.9256198347107438,0.17391304347826086,0.5301398959935546,0.7019704433497537,28,257,112,9
same_backbone_oct_only,OCTOnly_ViT,襄阳市中心医院,500,0.6155128205128206,0.35629896079819484,0.2769739581320155,0.2619157373252794,0.264,0.9636363636363636,0.06666666666666667,0.225531914893617,0.8666666666666667,0.36551724137931035,0.5151515151515151,0.94,106,364,26,4
