model_name,calibration_variant,uses_unlabeled_target_distribution,auroc,brier,ece,sensitivity,specificity,ppv,npv,cin3_sensitivity,cin3_false_negatives,referral_rate
ColposcopyOCT_LateFusion,temperature_scaling_val_only,False,0.5829939704230531,0.29468515860885586,0.36003465210222624,0.4037250481070706,0.7050274854755236,0.41453578892372,0.686057136941925,0.4177892657693595,90,0.3554535970946852
ColposcopyOCT_LateFusion,threshold_lock_only,False,0.5829939704230531,0.3221530789960932,0.374440034639389,0.3925931068627698,0.6975732115180684,0.39957570478302185,0.6870584649291382,0.42260178346243915,91,0.3443362787616703
ColposcopyOnly_ViT,full_model_calibration,True,0.5580637837746136,0.3675886421571107,0.38200212986481985,0.3949641309191871,0.7403740789080132,0.4247831305758313,0.6719718676823034,0.4101915356306457,104,0.3694862492121619
ColposcopyOnly_ViT,logit_median_matching_target_unlabeled,True,0.5580637837746136,0.3675886421571107,0.38200212986481985,0.3949641309191871,0.7403740789080132,0.4247831305758313,0.6719718676823034,0.4101915356306457,104,0.3694862492121619
ColposcopyOnly_ViT,no_calibration,False,0.5580445910108556,0.40781041231374343,0.4287869284096254,0.42316752485291814,0.6184898170051935,0.38343552905872824,0.679063258197451,0.47845256324471774,93,0.3912020124018662
ColposcopyOnly_ViT,temperature_scaling_val_only,False,0.5580637837746136,0.2996312262116988,0.36847173460292365,0.4570902070902071,0.6566552011673963,0.33683230828151756,0.824925953573266,0.4204918032786885,89,0.4729489750516446
ColposcopyOnly_ViT,threshold_lock_only,False,0.5580445910108556,0.40781041231374343,0.4287869284096254,0.4696968382361641,0.6327781856413882,0.41688632433352585,0.6706825109415016,0.4233062897290064,100,0.46653140068240617
HyDRA_CoE_Full,full_hydra_calibration,True,0.6457741523250538,0.2829589910774655,0.294366357804719,0.1089825904432646,0.969769602378298,0.648989898989899,0.6700080278123786,0.09797382067581131,165,0.06714916502552329
HyDRA_CoE_Full,logit_median_matching_target_unlabeled,True,0.6457741523250538,0.2829589910774655,0.294366357804719,0.1089825904432646,0.969769602378298,0.648989898989899,0.6700080278123786,0.09797382067581131,165,0.06714916502552329
HyDRA_CoE_Full,no_calibration,False,0.6457741523250538,0.30080833625854375,0.3409168488293452,0.6132535426917449,0.6124422193218588,0.41193739621310604,0.7083267663368069,0.6847303092106956,57,0.45613471772631264
HyDRA_CoE_Full,temperature_scaling_val_only,False,0.6457741523250538,0.27113773061403773,0.3346207600720367,0.2745622916409433,0.8902672413011756,0.541498264952031,0.6741853015014542,0.2702670207427233,118,0.23278705053055204
