model_name,center,n,number_referred_cin2_threshold,referral_rate,cin2_sensitivity,cin3_sensitivity,cin2_false_negatives,cin3_false_negatives,specificity,npv,ppv,unnecessary_model_positive_referrals,unnecessary_referrals_avoided_vs_treat_all,missed_cin2_per_1000,missed_cin3_per_1000,threshold_cin2,threshold_cin3,referred_per_1000,false_positive_referrals_per_1000
ColposcopyOnly_ViT,恩施州中心医院,406,18,0.04433497536945813,0.1,0.0625,117,60,0.9818840579710145,0.6984536082474226,0.7222222222222222,5,271,288.1773399014778,147.78325123152712,0.994619547217986,0.998307923026697,44.33497536945813,12.315270935960593
ColposcopyOnly_ViT,武大人民医院,89,74,0.8314606741573034,0.8314606741573034,0.8163265306122449,15,9,,0.0,1.0,0,0,168.53932584269663,101.12359550561797,0.0015097437599966,0.0023046347146717,831.4606741573034,0.0
ColposcopyOnly_ViT,荆州市第一人民医院,406,150,0.3694581280788177,0.2702702702702703,0.0,27,13,0.6205962059620597,0.89453125,0.06666666666666667,140,229,66.50246305418719,32.01970443349754,0.5484771651581949,0.9909427870175642,369.4581280788177,344.82758620689657
ColposcopyOnly_ViT,襄阳市中心医院,500,331,0.662,0.7181818181818181,0.7377049180327869,31,16,0.35384615384615387,0.8165680473372781,0.23867069486404835,252,138,62.0,32.0,0.1360341256061759,0.1360341256061759,662.0,504.0
HyDRA_CoE_Full,十堰市人民医院,496,8,0.016129032258064516,0.10714285714285714,0.0,25,4,0.9893162393162394,0.9487704918032787,0.375,5,463,50.40322580645161,8.064516129032258,0.8821881985017164,0.8919896472598614,16.129032258064516,10.080645161290322
HyDRA_CoE_Full,恩施州中心医院,406,50,0.12315270935960591,0.3,0.390625,91,39,0.9601449275362319,0.7443820224719101,0.78,11,265,224.13793103448276,96.0591133004926,0.8964351083780716,0.8964351083780716,123.15270935960591,27.093596059113302
HyDRA_CoE_Full,武大人民医院,89,55,0.6179775280898876,0.6179775280898876,0.7551020408163265,34,12,,0.0,1.0,0,0,382.02247191011236,134.8314606741573,0.3448398599019373,0.2150378978489961,617.9775280898876,0.0
HyDRA_CoE_Full,荆州市第一人民医院,406,47,0.11576354679802955,0.16216216216216217,0.07692307692307693,31,12,0.8888888888888888,0.9136490250696379,0.1276595744680851,41,328,76.35467980295567,29.556650246305416,0.9391217163862884,0.9698902724966649,115.76354679802955,100.98522167487685
HyDRA_CoE_Full,襄阳市中心医院,500,224,0.448,0.5181818181818182,0.4098360655737705,53,36,0.5717948717948718,0.8079710144927537,0.2544642857142857,167,223,106.0,72.0,0.6416939397381147,0.8631757222070526,448.0,334.0
OCTOnly_ViT,十堰市人民医院,496,89,0.17943548387096775,0.21428571428571427,0.5,22,2,0.8226495726495726,0.9459459459459459,0.06741573033707865,83,385,44.35483870967742,4.032258064516129,0.20508715090805757,0.3088547445242258,179.43548387096774,167.33870967741933
OCTOnly_ViT,恩施州中心医院,406,274,0.6748768472906403,0.7769230769230769,0.71875,29,18,0.37318840579710144,0.7803030303030303,0.3686131386861314,173,103,71.42857142857143,44.33497536945813,0.20569051171121816,0.20569051171121816,674.8768472906404,426.1083743842364
OCTOnly_ViT,武大人民医院,89,41,0.4606741573033708,0.4606741573033708,0.7346938775510204,48,13,,0.0,1.0,0,0,539.3258426966293,146.06741573033707,0.1731751499371857,0.0147370444835408,460.6741573033708,0.0
OCTOnly_ViT,荆州市第一人民医院,406,285,0.7019704433497537,0.7567567567567568,0.6923076923076923,9,4,0.3035230352303523,0.9256198347107438,0.09824561403508772,257,112,22.167487684729064,9.852216748768473,0.8294156336197066,0.8294156336197066,701.9704433497536,633.0049261083743
OCTOnly_ViT,襄阳市中心医院,500,470,0.94,0.9636363636363636,0.47540983606557374,4,32,0.06666666666666667,0.8666666666666667,0.225531914893617,364,26,8.0,64.0,0.0010133457931145,0.8083365561682807,940.0,728.0
