stratum_type,stratum,n,auroc,sensitivity,specificity,ppv,npv,false_negatives,false_positives,referral_rate,cin3_false_negatives,notes
hpv,"59,68,53",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"6,31,51",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"6,39,51",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,61,2,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,62,1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,66,3,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"66,53",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,68,10,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"68,42",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"68,6,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"68,82",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,73,1,,0.0,,,0.0,1,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"73,82,6",1,,0.0,,,0.0,1,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,76,1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,81,5,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,9,44,0.3023255813953488,0.0,0.9534883720930233,0.0,0.9761904761904762,1,2,0.045454545454545456,0,
hpv,"9,58",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,missing,588,0.6200941915227629,0.2857142857142857,0.8470824949698189,0.2549019607843137,0.8662551440329218,65,76,0.17346938775510204,32,
hpv,其他,24,0.30000000000000004,0.0,0.75,0.0,0.7894736842105263,4,5,0.20833333333333334,1,
hpv,高危,4,,,0.5,0.0,1.0,0,2,0.5,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
tct, ,1,,,0.0,0.0,,0,1,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
tct,1,610,0.6534046787031644,0.29207920792079206,0.8627450980392157,0.5130434782608696,0.7111111111111111,143,56,0.1885245901639344,60,
tct,AGC-NOS,5,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
tct,ASC-H,26,0.4125,0.0,0.875,0.0,0.5833333333333334,10,2,0.07692307692307693,6,
tct,"ASC-H,AGC-NOS,",1,,,0.0,0.0,,0,1,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
tct,ASC-US,271,0.45178821879382886,0.0,0.8991935483870968,0.0,0.9065040650406504,23,25,0.09225092250922509,8,
tct,HSIL,26,0.35757575757575755,0.5333333333333333,0.2727272727272727,0.5,0.3,7,8,0.6153846153846154,2,
tct,HSIL ,1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
tct,LSIL,99,0.3928571428571429,0.0,0.8928571428571429,0.0,0.8333333333333334,15,9,0.09090909090909091,7,
tct,NILM,294,0.6134259259259258,0.12962962962962962,0.925,0.28,0.8252788104089219,47,18,0.08503401360544217,15,
tct,missing,562,0.7274867080194949,0.43243243243243246,0.8913934426229508,0.3764705882352941,0.9119496855345912,42,53,0.1512455516014235,22,
tct,低分化癌,1,,0.0,,,0.0,1,0,0.0,1,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
age,<30,141,0.6311630847029077,0.21428571428571427,0.9292035398230089,0.42857142857142855,0.8267716535433071,22,8,0.09929078014184398,7,
age,30-39,493,0.6195948782535684,0.16666666666666666,0.9118387909319899,0.3137254901960784,0.8190045248868778,80,35,0.10344827586206896,28,
age,40-49,486,0.6208504801097394,0.2345679012345679,0.9012345679012346,0.3220338983050847,0.8548009367681498,62,40,0.12139917695473251,27,
age,50-59,565,0.6081409016797481,0.2627118644067797,0.843400447427293,0.3069306930693069,0.8125,87,70,0.17876106194690267,42,
age,>=60,208,0.704514649150245,0.391304347826087,0.8776978417266187,0.6136363636363636,0.7439024390243902,42,17,0.21153846153846154,19,
age,nan,4,0.5,0.0,1.0,,0.5,2,0,0.0,2,
center,十堰市人民医院,496,0.682844932844933,0.10714285714285714,0.9893162393162394,0.375,0.9487704918032787,25,5,0.016129032258064516,4,
center,恩施州中心医院,406,0.7426978818283166,0.3,0.9601449275362319,0.78,0.7443820224719101,91,11,0.12315270935960591,39,
center,武大人民医院,89,,0.6179775280898876,,1.0,0.0,34,0,0.6179775280898876,14,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
center,荆州市第一人民医院,406,0.5847799018530726,0.16216216216216217,0.8888888888888888,0.1276595744680851,0.9136490250696379,31,41,0.11576354679802955,11,
center,襄阳市中心医院,500,0.5727738927738928,0.5181818181818182,0.5717948717948718,0.2544642857142857,0.8079710144927537,53,167,0.448,21,
